Name,Price,Year,Mileage,Additional Details,Location,Link,Label,Predicted Label
Honda JAZZ/FIT 1.3 Hybrid 5 Seats ULEZ Free Hatchback Petrol/Electric Hybrid A,"£7,695",2011," 40,300 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,300 cc","Hornchurch, London",https://www.gumtree.com/p/honda/honda-jazz-fit-1.3-hybrid-5-seats-ulez-free-hatchback-petrol-electric-hybrid-a/1429912429,GCHV,GCLV
BMW 520D 2.0 xDrive M Sport Diesel,"£25,299",2018," 22,600 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,995 cc","West London, London",https://www.gumtree.com/p/bmw/bmw-520d-2.0-xdrive-m-sport-diesel/1425521656,GCLV,GCLV
2009 Toyota Prius 1.8 VVT-h T Spirit CVT 5dr +Rear Cam +Nav. +USB +Bluetooth +UL,"£8,480",2009," 70,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","Edmonton, London",https://www.gumtree.com/p/toyota/2009-toyota-prius-1.8-vvt-h-t-spirit-cvt-5dr-rear-cam-nav.-usb-bluetooth-ul/1428788477,GCHV,GCLV
Renault Kadjar RENAULT KADJAR 1.2 TCE Dynamique Nav 5dr Petrol,"£12,200",2016," 31,553 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,197 cc","Orpington, London",https://www.gumtree.com/p/renault/renault-kadjar-renault-kadjar-1.2-tce-dynamique-nav-5dr-petrol/1428643811,GCLV,GCLV
Mazda CX-3 2.0 Sport Nav + AWD Petrol,"£15,799",2018," 8,164 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,998 cc","West London, London",https://www.gumtree.com/p/mazda/mazda-cx-3-2.0-sport-nav-awd-petrol/1426614987,GCLV,GCLV
2019 Vauxhall CROSSLAND X 1.2 Turbo ecoTEC GPF SE SUV 5dr Petrol Manual Euro 6 (,"£12,800",2019," 28,481 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,199 cc","Croydon, London",https://www.gumtree.com/p/vauxhall/2019-vauxhall-crossland-x-1.2-turbo-ecotec-gpf-se-suv-5dr-petrol-manual-euro-6-/1429442686,BCLV,BCLV
"2009 FORD FOCUS 1.8 TDCi Zetec 5dr *Full Service History, Two Ex-Owners*","£1,899",2009," 155,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,753 cc","Heathrow, London",https://www.gumtree.com/p/ford/2009-ford-focus-1.8-tdci-zetec-5dr-full-service-history-two-ex-owners-/1424640916,BCLV,BCLV
Renault Koleos 2.0 dCi Signature Nav Xtronic 4WD Diesel,"£19,499",2017," 25,323 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,995 cc","West London, London",https://www.gumtree.com/p/renault/renault-koleos-2.0-dci-signature-nav-xtronic-4wd-diesel/1426615522,GCHV,BCHV
2018 Kia Sportage 1.6T GDi ISG 4 5dr CrossOver Petrol Manual,"£21,599",2018," 12,718 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,591 cc","East London, London",https://www.gumtree.com/p/kia/2018-kia-sportage-1.6t-gdi-isg-4-5dr-crossover-petrol-manual/1425743136,GCLV,BCLV
2019 Nissan Micra 0.9 IG-T Acenta Limited Edition 5dr Manual Hatchback Petrol Ma,"£13,475",2019," 12,470 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","Bromley, London",https://www.gumtree.com/p/nissan/2019-nissan-micra-0.9-ig-t-acenta-limited-edition-5dr-manual-hatchback-petrol-ma/1430372479,GCHV,BCHV
2019 Ford Ecosport 1.0 EcoBoost 125 Titanium 5dr Manual Hatchback Petrol Manual,"£15,000",2019," 15,795 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Barking, London",https://www.gumtree.com/p/ford/2019-ford-ecosport-1.0-ecoboost-125-titanium-5dr-manual-hatchback-petrol-manual/1430905187,GCLV,BCLV
2019 Ford Focus 1.0 EcoBoost 125 Titanium 5dr Auto Automatic Estate Petrol Autom,"£17,800",2019," 13,522 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","Barking, London",https://www.gumtree.com/p/ford/2019-ford-focus-1.0-ecoboost-125-titanium-5dr-auto-automatic-estate-petrol-autom/1430904997,GCLV,GCLV
2010 Mercedes-Benz C Class 1.8 C180 BlueEfficiency SE 7G-Tronic 4dr +Auto +Petro,"£5,980",2010," 78,400 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,796 cc","Edmonton, London",https://www.gumtree.com/p/mercedes-benz/2010-mercedes-benz-c-class-1.8-c180-blueefficiency-se-7g-tronic-4dr-auto-petro/1423708747,GCHV,GCLV
Vauxhall Insignia 1.5 T Design Nav Petrol,"£12,499",2018," 33,910 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,490 cc","West London, London",https://www.gumtree.com/p/vauxhall/vauxhall-insignia-1.5-t-design-nav-petrol/1430143744,BCHV,GCHV
2014 Nissan Juke 1.6 Tekna 5dr Xtronic HATCHBACK Petrol Automatic,"£9,990",2014," 30,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,598 cc","Edgware, London",https://www.gumtree.com/p/nissan/2014-nissan-juke-1.6-tekna-5dr-xtronic-hatchback-petrol-automatic/1428644260,GCLV,GCHV
Audi RS6 Avant 4.0 TFSI V8 Vorsprung Tiptronic quattro (s/s) 5dr Petrol,"£128,990",2021," 1,470 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 3,996 cc","City of London, London",https://www.gumtree.com/p/audi/audi-rs6-avant-4.0-tfsi-v8-vorsprung-tiptronic-quattro-s-s-5dr-petrol/1427030784,GCLV,BCHV
Honda Civic 1.8 i-VTEC EX 5dr Petrol,"£9,695",2012," 57,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","Tooting, London",https://www.gumtree.com/p/honda/honda-civic-1.8-i-vtec-ex-5dr-petrol/1431060884,GCHV,BCHV
Renault Captur RENAULT CAPTUR 0.9 TCE 90 Dynamique S Nav 5dr Petrol,"£11,500",2018," 37,113 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","Romford, London",https://www.gumtree.com/p/renault/renault-captur-renault-captur-0.9-tce-90-dynamique-s-nav-5dr-petrol/1428268241,BCLV,BCLV
2020 Honda HONDA E 35.5kWh Advance Hatchback 5dr Electric Auto (17in Alloy) (154,"£29,950",2020," 4,684 miles","Seller type: Trade, Fuel type: Electric, Engine size: 1 cc","Chiswick, London",https://www.gumtree.com/p/honda/2020-honda-honda-e-35.5kwh-advance-hatchback-5dr-electric-auto-17in-alloy-154/1426615608,GCLV,BCHV
Audi A6 2.0 TDi 190 Ultra S-Line Avant S-Tronic Diesel,"£19,299",2016," 33,787 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,968 cc","West London, London",https://www.gumtree.com/p/audi/audi-a6-2.0-tdi-190-ultra-s-line-avant-s-tronic-diesel/1427031117,GCLV,BCHV
2019 Fiat Tipo 1.6 MultiJetII Lounge Euro 6 (s/s) 5dr +Rear Cam +Nav. +ULEZ +Hea,"£9,980",2019," 48,200 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,598 cc","Edmonton, London",https://www.gumtree.com/p/fiat/2019-fiat-tipo-1.6-multijetii-lounge-euro-6-s-s-5dr-rear-cam-nav.-ulez-hea/1428175281,BCLV,BCLV
"Ford, ECOSPORT, Hatchback, 2019, Semi-Auto, 999 (cc), 5 doors","£17,000",2019," 17,000 miles","Fuel type: Petrol, Engine size: 999 cc","Barnet, London",https://www.gumtree.com/p/ford/ford-ecosport-hatchback-2019-semi-auto-999-cc-5-doors/1430827500,GCHV,BCHV
2011 Mercedes-Benz C Class C180 CGI BlueEFFICIENCY Executive SE 5dr Auto Estate,"£10,590",2011," 51,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,796 cc","Surbiton, London",https://www.gumtree.com/p/mercedes-benz/2011-mercedes-benz-c-class-c180-cgi-blueefficiency-executive-se-5dr-auto-estate-/1430501437,GCHV,BCHV
ALPHA ROMEO MITO 1.4 Manual Petrol £1450,"£1,450",2009," 137,600 miles","Fuel type: Petrol, Engine size: 1,368 cc","Edmonton, London",https://www.gumtree.com/p/alfa-romeo/alpha-romeo-mito-1.4-manual-petrol-£1450/1431211590,BCLV,BCHV
BMW 5 SERIES 520 D AUTOMATIC,"£7,000",2013," 129,800 miles","Fuel type: Diesel, Engine size: 2 cc","Uxbridge, London",https://www.gumtree.com/p/bmw/bmw-5-series-520-d-automatic-/1429337250,BCHV,GCHV
2016 Kia Sportage 1.6 2 ISG Estate PETROL Manual,"£14,995",2016," 29,594 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,591 cc","Sidcup, London",https://www.gumtree.com/p/kia/2016-kia-sportage-1.6-2-isg-estate-petrol-manual/1430596416,GCHV,GCLV
2004 VOLKSWAGEN POLO 1.2 E 55 3dr ONLY 32K Miles BRAND NEW CLUTCH,"£3,499",2004," 32,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,198 cc","Heathrow, London",https://www.gumtree.com/p/volkswagen/2004-volkswagen-polo-1.2-e-55-3dr-only-32k-miles-brand-new-clutch/1429912619,GCLV,GCLV
Audi A1 1.4 TFSI Sport Sportback 5dr Petrol,"£9,750",2013," 37,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,390 cc","Rainham, London",https://www.gumtree.com/p/audi/audi-a1-1.4-tfsi-sport-sportback-5dr-petrol/1425602077,GCHV,GCHV
2008 BMW 3 SERIES 320i SE 2dr ONE-PREVIOUS OWNER *Recently Fully Serviced*,"£5,699",2008," 51,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,995 cc","Heathrow, London",https://www.gumtree.com/p/bmw/2008-bmw-3-series-320i-se-2dr-one-previous-owner-recently-fully-serviced-/1429442841,GCHV,GCHV
2010/10 REG FIAT GRANDE PUNTO 1.4 ACTIVE ** 1F KEEPER + ULEZ EXEMPT **,"£1,795",2010," 85,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,368 cc","Tooting, London",https://www.gumtree.com/p/fiat/2010-10-reg-fiat-grande-punto-1.4-active-1f-keeper-ulez-exempt-/1429442796,GCLV,BCHV
VW Tiguan,"£4,550",2009," 14,000 miles","Fuel type: Diesel, Engine size: 1,968 cc","Colindale, London",https://www.gumtree.com/p/volkswagen/vw-tiguan/1431286315,GCLV,GCHV
2012 AUTOMATIC VAUXHALL ANTARA 2.2 SE GREAT SPEC,"£4,950",2012," 99,000 miles","Fuel type: Diesel, Engine size: 2,231 cc","Islington, London",https://www.gumtree.com/p/vauxhall/2012-automatic-vauxhall-antara-2.2-se-great-spec-/1431286239,BCHV,GCHV
Ford Focus 1.8 petrol 2011,"£2,350",2011," 105,000 miles","Fuel type: Petrol, Engine size: 1,798 cc","Enfield, London",https://www.gumtree.com/p/ford/ford-focus-1.8-petrol-2011/1431286173,BCLV,BCLV
2010 AUDI S3 2.0 DSG QUATTRO 5 DOOR,"£8,250",2010," 96,000 miles","Fuel type: Petrol, Engine size: 1,984 cc","Islington, London",https://www.gumtree.com/p/audi/2010-audi-s3-2.0-dsg-quattro-5-door-/1431285971,BCLV,BCHV
"Ford, FIESTA, Hatchback, 2009, Manual, 1388 (cc), 5 doors","£1,650",2009," 110,657 miles","Fuel type: Petrol, Engine size: 1,388 cc","Wanstead, London",https://www.gumtree.com/p/ford/ford-fiesta-hatchback-2009-manual-1388-cc-5-doors/1431285968,BCLV,BCLV
2021 Suzuki Vitara 1.4 SZ-T BOOSTERJET Estate HYBRID ELECTRIC Manual,"£19,895",2021," 1,781 miles","Seller type: Trade, Fuel type: Hybrid Electric, Engine size: 1,373 cc","Bromley, London",https://www.gumtree.com/p/suzuki/2021-suzuki-vitara-1.4-sz-t-boosterjet-estate-hybrid-electric-manual/1431285878,GCLV,GCHV
Audi TT 225,"£1,300",2001," 201,000 miles",Fuel type: Petrol/Gas,"South Croydon, London",https://www.gumtree.com/p/audi/audi-tt-225/1431285756,BCLV,GCLV
2013 AUTOMATIC E220D AMG SPORT COUPE,"£11,500",2013," 80,000 miles","Fuel type: Diesel, Engine size: 2,143 cc","Islington, London",https://www.gumtree.com/p/mercedes-benz/2013-automatic-e220d-amg-sport-coupe-/1431285737,BCLV,BCHV
Land Rover Defender 110 5.0 P525 V8 Auto 4WD (s/s) 5dr Petrol,"£138,990",2021," 3,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 5,000 cc","City of London, London",https://www.gumtree.com/p/land-rover/land-rover-defender-110-5.0-p525-v8-auto-4wd-s-s-5dr-petrol/1427029550,GCLV,BCLV
2017 Ford Ecosport 1.5 TDCi 95 Zetec 5dr Manual Hatchback Diesel Manual,"£8,300",2017," 80,045 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,499 cc","Barking, London",https://www.gumtree.com/p/ford/2017-ford-ecosport-1.5-tdci-95-zetec-5dr-manual-hatchback-diesel-manual/1430904004,BCLV,BCHV
"2018 18 REG FORD FIESTA 1.0 ST LINE TURBO, 1 OWNER, HPI CLEAR, SERVICE HISTORY","£10,995",2018," 35,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Redbridge, London",https://www.gumtree.com/p/ford/2018-18-reg-ford-fiesta-1.0-st-line-turbo-1-owner-hpi-clear-service-history/1430371842,BCLV,BCHV
2018 Nissan Qashqai 1.2 DiG-T N-Connecta [Glass Roof Pack] 5dr Manual Hatchback,"£17,475",2018," 24,967 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,332 cc","Heathrow, London",https://www.gumtree.com/p/nissan/2018-nissan-qashqai-1.2-dig-t-n-connecta-glass-roof-pack-5dr-manual-hatchback-/1429911744,GCHV,BCLV
2019 Nissan Micra 0.9 IG-T N-Connecta 5dr Manual Hatchback Petrol Manual,"£13,275",2019," 2,969 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","South East London, London",https://www.gumtree.com/p/nissan/2019-nissan-micra-0.9-ig-t-n-connecta-5dr-manual-hatchback-petrol-manual/1427240535,GCLV,BCLV
Hyundai i20 1.2 Active 3dr Petrol,"£3,495",2012," 80,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,248 cc","Heathrow, London",https://www.gumtree.com/p/hyundai/hyundai-i20-1.2-active-3dr-petrol/1424420674,GCLV,GCHV
2020 Ford Puma 1.0 EcoBoost Hybrid mHEV 155 ST-Line X 1st Ed-Plus 5dr Hatchback,"£24,599",2020," 16,768 miles","Seller type: Trade, Fuel type: Hybrid Electric, Engine size: 999 cc","East London, London",https://www.gumtree.com/p/ford/2020-ford-puma-1.0-ecoboost-hybrid-mhev-155-st-line-x-1st-ed-plus-5dr-hatchback-/1427902599,BCLV,GCLV
Land Rover Range Rover Velar 2.0 D240 R-Dynamic SE Auto 4WD (s/s) 5dr Diesel,"£43,990",2018," 31,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,999 cc","City of London, London",https://www.gumtree.com/p/land-rover/land-rover-range-rover-velar-2.0-d240-r-dynamic-se-auto-4wd-s-s-5dr-diesel/1425740003,BCHV,BCLV
Lexus CT 200h 1.8 Sport,"£14,000",2017," 81,633 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","West London, London",https://www.gumtree.com/p/lexus/lexus-ct-200h-1.8-sport/1430143657,BCHV,BCLV
Volkswagen Polo 1.0 TSI R-Line DSG Euro 6 (s/s) 5dr Petrol,"£16,240",2019," 50,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","Uxbridge, London",https://www.gumtree.com/p/volkswagen/volkswagen-polo-1.0-tsi-r-line-dsg-euro-6-s-s-5dr-petrol/1429442181,BCLV,GCLV
2014 Toyota AYGO 1.0 VVT-i Move with Style 5dr MMT HATCHBACK Petrol Automatic,"£7,490",2014," 29,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 998 cc","Edgware, London",https://www.gumtree.com/p/toyota/2014-toyota-aygo-1.0-vvt-i-move-with-style-5dr-mmt-hatchback-petrol-automatic/1429759501,GCLV,GCLV
"Great Mini. 2 keys, one year mot.","£3,500",2010," 55,013 miles","Fuel type: Petrol, Engine size: 1,598 cc","Greenwich, London",https://www.gumtree.com/p/mini/great-mini.-2-keys-one-year-mot./1431221170,GCLV,BCLV
GLA220,"£17,900",2015," 37,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,143 cc",London,https://www.gumtree.com/p/mercedes-benz/gla220/1429022892,GCLV,GCHV
2009 Volvo C30 1.6 R DESIGN Sport 3dr HATCHBACK Petrol Manual,"£5,500",2009," 59,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,596 cc","Hornchurch, London",https://www.gumtree.com/p/volvo/2009-volvo-c30-1.6-r-design-sport-3dr-hatchback-petrol-manual/1430542549,GCHV,BCLV
2007 Citroen Xsara Picasso 1.6i 16V Desire 5dr MPV Petrol Manual,"£1,695",2007," 71,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,587 cc","Leytonstone, London",https://www.gumtree.com/p/citroen/2007-citroen-xsara-picasso-1.6i-16v-desire-5dr-mpv-petrol-manual/1422634301,GCLV,GCHV
SKODA FABIA 1.6 TDI ELEGANCE ESTATE NEW MOT VGC,"£1,995",2012," 120,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,598 cc","Hornchurch, London",https://www.gumtree.com/p/skoda/skoda-fabia-1.6-tdi-elegance-estate-new-mot-vgc/1431223714,BCLV,BCHV
Volkswagen Passat 2.0 TDi 190 Alltrack 4Motion DSG Diesel,"£14,799",2016," 73,599 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,968 cc","West London, London",https://www.gumtree.com/p/volkswagen/volkswagen-passat-2.0-tdi-190-alltrack-4motion-dsg-diesel/1430143568,BCHV,GCLV
2018 Ford Grand C-Max 1.0 EcoBoost 125ps Titanium 5dr ONE OWNER + FULL SERVICE H,"£17,500",2018," 11,575 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","Eltham, London",https://www.gumtree.com/p/ford/2018-ford-grand-c-max-1.0-ecoboost-125ps-titanium-5dr-one-owner-full-service-h/1428643257,GCLV,BCHV
Audi RS6 Avant 4.0 TFSI V8 Carbon Black Tiptronic quattro (s/s) 5dr Petrol,"£97,990",2020," 16,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 3,996 cc","City of London, London",https://www.gumtree.com/p/audi/audi-rs6-avant-4.0-tfsi-v8-carbon-black-tiptronic-quattro-s-s-5dr-petrol/1426394618,BCLV,BCHV
2018 Ford Grand C-Max C-Max Grand 5Dr Titanium 1.0 100PS Estate Petrol Manual,"£17,499",2018," 13,588 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,000 cc","Enfield, London",https://www.gumtree.com/p/ford/2018-ford-grand-c-max-c-max-grand-5dr-titanium-1.0-100ps-estate-petrol-manual/1428336475,GCLV,BCHV
LEXUS CT 200h 1.8 Advance 5dr CVT Auto,"£14,995",2014," 36,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","Feltham, London",https://www.gumtree.com/p/lexus/lexus-ct-200h-1.8-advance-5dr-cvt-auto/1429759003,GCHV,BCHV
2020 Volkswagen Polo 1.0 EVO 80 Match 5dr Hatchback Petrol Manual,"£15,999",2020," 8,842 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 999 cc","East London, London",https://www.gumtree.com/p/volkswagen/2020-volkswagen-polo-1.0-evo-80-match-5dr-hatchback-petrol-manual/1426177361,GCLV,BCHV
Volkswagen Touareg 3.0 TDi 262 R Line Plus Diesel,"£24,799",2017," 52,862 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,967 cc","West London, London",https://www.gumtree.com/p/volkswagen/volkswagen-touareg-3.0-tdi-262-r-line-plus-diesel/1426177891,BCLV,BCHV
2022 Kia Proceed 1.5 GT-LINE ISG Estate PETROL Manual,"£22,995",2022, 10 miles,"Seller type: Trade, Fuel type: Petrol, Engine size: 1,482 cc","Sidcup, London",https://www.gumtree.com/p/kia/2022-kia-proceed-1.5-gt-line-isg-estate-petrol-manual/1426257874,GCLV,BCLV
2009 Ford Fiesta 1.4 Zetec 5dr Auto HATCHBACK Petrol Automatic,"£6,495",2009," 48,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,388 cc","Rainham, London",https://www.gumtree.com/p/ford/2009-ford-fiesta-1.4-zetec-5dr-auto-hatchback-petrol-automatic/1425741485,GCHV,BCLV
2019 Peugeot 208 1.2 S/S TECH EDITION Hatchback PETROL Manual,"£12,795",2019," 8,187 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,199 cc","Sidcup, London",https://www.gumtree.com/p/peugeot/2019-peugeot-208-1.2-s-s-tech-edition-hatchback-petrol-manual/1429148182,GCLV,GCLV
Renault Captur RENAULT CAPTUR 0.9 TCE 90 Play 5dr Petrol,"£11,200",2019," 37,699 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","Orpington, London",https://www.gumtree.com/p/renault/renault-captur-renault-captur-0.9-tce-90-play-5dr-petrol/1428642492,BCLV,BCHV
Honda Civic HONDA CIVIC 1.8 i-VTEC SR 5dr Petrol,"£12,500",2016," 39,754 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,798 cc","Orpington, London",https://www.gumtree.com/p/honda/honda-civic-honda-civic-1.8-i-vtec-sr-5dr-petrol/1425752146,GCLV,BCHV
Renault Captur RENAULT CAPTUR 0.9 TCE 90 Iconic 5dr Petrol,"£13,000",2018," 3,887 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 898 cc","Enfield, London",https://www.gumtree.com/p/renault/renault-captur-renault-captur-0.9-tce-90-iconic-5dr-petrol/1428267864,GCLV,BCHV
Hyundai ix35 1.7 CRDi Premium 2WD 5dr Diesel,"£5,490",2013," 112,800 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 1,685 cc","Surbiton, London",https://www.gumtree.com/p/hyundai/hyundai-ix35-1.7-crdi-premium-2wd-5dr-diesel/1425017380,BCHV,GCHV
2013 AUTOMATIC MERCEDES C220D AMG SPORT MAP PILOT,"£10,950",2013," 58,000 miles","Fuel type: Diesel, Engine size: 2,143 cc","Islington, London",https://www.gumtree.com/p/mercedes-benz/2013-automatic-mercedes-c220d-amg-sport-map-pilot-/1431285535,BCLV,GCHV
Chevrolet captiva 2.0 LTZ VCDI,"£2,500",2010," 159,800 miles","Fuel type: Diesel, Engine size: 1,991 cc","Croydon, London",https://www.gumtree.com/p/chevrolet/chevrolet-captiva-2.0-ltz-vcdi/1431285478,BCLV,BCHV
Renault Clio Sport 16v,"£1,150",2001," 80,000 miles","Fuel type: Petrol, Engine size: 1,149 cc","Enfield, London",https://www.gumtree.com/p/renault/renault-clio-sport-16v-/1431285439,GCLV,GCLV
"Vauxhall, CORSA, Hatchback, 2009, Manual, 1364 (cc), 5 doors","£1,750",2009," 111,185 miles","Fuel type: Petrol, Engine size: 1,364 cc","North London, London",https://www.gumtree.com/p/vauxhall/vauxhall-corsa-hatchback-2009-manual-1364-cc-5-doors/1431285198,GCLV,BCHV
2008 AUTOMATIC FIAT 500 1.4 LOUNGE PAN ROOF,"£4,500",2008," 85,000 miles","Fuel type: Petrol, Engine size: 1,368 cc","Islington, London",https://www.gumtree.com/p/fiat/2008-automatic-fiat-500-1.4-lounge-pan-roof-/1431285108,GCHV,GCLV
Nissan Patrol SVE TD AUTO 2004 **P/X WELCOME**,"£6,500",2004," 111,000 miles","Seller type: Trade, Fuel type: Diesel, Engine size: 2,953 cc","Romford, London",https://www.gumtree.com/p/nissan/nissan-patrol-sve-td-auto-2004-p-x-welcome-/1431284994,GCLV,BCHV
2012 Vauxhall Astra 1.6i 16V SRI 5dr Manual Hatchback Petrol,"£3,500",2012," 96,000 miles","Fuel type: Petrol, Engine size: 1,598 cc","Tower Hamlets, London",https://www.gumtree.com/p/vauxhall/2012-vauxhall-astra-1.6i-16v-sri-5dr-manual-hatchback-petrol/1431284852,BCHV,GCHV
HONDA CIVIC 07 HATCHBACK 1.8 BLUE SAT NAV PARKING SENSOR LONG MOT,"£1,675",2007," 135,500 miles","Fuel type: Petrol, Engine size: 1,799 cc","Greenford, London",https://www.gumtree.com/p/honda/honda-civic-07-hatchback-1.8-blue-sat-nav-parking-sensor-long-mot/1431284826,BCLV,GCLV
MINI COUNTRYMAN 1.6 ONE (A/C) AUTOMATIC - 5 DOOR - 2012 - WHITE **LOW MILES**,"£10,449",2012," 43,000 miles","Seller type: Trade, Fuel type: Petrol, Engine size: 1,598 cc","Croydon, London",https://www.gumtree.com/p/mini/mini-countryman-1.6-one-a-c-automatic-5-door-2012-white-low-miles-/1428642000,GCHV,GCLV
